record_ID,units_sold
213065,inf
213066,inf
213068,inf
213069,inf
213070,inf
213072,inf
213073,inf
213074,inf
213076,inf
213077,inf
213078,inf
213079,inf
213080,inf
213081,inf
213082,inf
213083,inf
213084,inf
213085,inf
213086,inf
213087,inf
213088,inf
213089,inf
213090,inf
213091,inf
213092,inf
213093,13395521.0
213094,inf
213096,inf
213097,inf
213098,inf
213100,inf
213101,inf
213102,inf
213103,inf
213105,inf
213106,inf
213107,inf
213108,inf
213109,inf
213110,inf
213111,inf
213113,inf
213114,inf
213115,inf
213123,inf
213127,inf
213128,inf
213129,inf
213131,inf
213132,inf
213133,inf
213135,inf
213136,inf
213137,inf
213138,inf
213140,inf
213141,inf
213142,inf
213145,inf
213147,inf
213148,inf
213149,inf
213150,inf
213151,inf
213152,inf
213153,inf
213154,inf
213155,inf
213156,inf
213157,inf
213158,inf
213159,inf
213160,inf
213161,inf
213162,inf
213163,inf
213164,inf
213167,inf
213168,inf
213169,inf
213170,inf
213171,inf
213174,inf
213175,inf
213176,inf
213179,inf
213180,inf
213181,inf
213182,inf
213183,inf
213187,inf
213188,inf
213189,inf
213191,inf
213192,inf
213194,inf
213195,inf
213197,inf
213199,inf
213200,inf
213202,inf
213204,inf
213205,inf
213206,inf
213207,inf
213208,inf
213209,inf
213215,inf
213216,inf
213217,inf
213219,inf
213220,inf
213221,inf
213225,inf
213226,inf
213227,inf
213230,inf
213231,inf
213233,inf
213235,inf
213236,inf
213238,inf
213239,inf
213240,inf
213241,inf
213242,inf
213243,inf
213245,inf
213246,inf
213247,inf
213248,inf
213249,inf
213250,inf
213251,inf
213252,inf
213254,inf
213255,inf
213256,3.1386617198812037e+37
213257,inf
213260,inf
213265,inf
213268,inf
213269,inf
213270,inf
213273,inf
213275,inf
213276,inf
213278,inf
213279,inf
213280,inf
213281,inf
213282,inf
213283,inf
213285,inf
213286,inf
213287,inf
213288,inf
213289,inf
213292,inf
213293,inf
213294,inf
213296,inf
213297,inf
213301,inf
213303,inf
213304,inf
213305,inf
213306,inf
213308,inf
213309,inf
213310,inf
213311,inf
213312,inf
213314,inf
213315,inf
213316,inf
213317,inf
213320,inf
213321,inf
213322,inf
213325,inf
213326,inf
213327,inf
213330,inf
213331,inf
213332,inf
213333,inf
213334,inf
213335,inf
213336,inf
213337,inf
213338,inf
213340,inf
213341,inf
213343,inf
213346,inf
213347,inf
213348,inf
213351,inf
213352,inf
213353,inf
213354,inf
213355,inf
213356,inf
213357,inf
213358,inf
213359,inf
213360,inf
213361,inf
213363,inf
213364,inf
213365,inf
213366,inf
213367,inf
213369,inf
213370,inf
213371,inf
213372,inf
213373,inf
213374,inf
213375,inf
213376,inf
213377,inf
213378,inf
213379,inf
213380,inf
213381,inf
213382,inf
213383,inf
213384,inf
213385,inf
213387,inf
213388,inf
213390,inf
213391,inf
213392,inf
213394,inf
213395,inf
213396,inf
213399,inf
213400,inf
213401,inf
213403,inf
213404,inf
213408,inf
213409,inf
213410,4.020352446029586e+261
213411,inf
213412,inf
213413,inf
213414,inf
213415,inf
213416,inf
213417,inf
213418,inf
213419,inf
213420,inf
213421,inf
213422,inf
213423,inf
213425,inf
213426,inf
213427,inf
213428,inf
213431,inf
213432,inf
213434,inf
213435,inf
213436,inf
213437,inf
213439,inf
213440,inf
213441,inf
213444,inf
213445,inf
213446,inf
213447,inf
213448,inf
213449,inf
213454,inf
213455,inf
213456,inf
213457,inf
213458,inf
213461,inf
213462,inf
213463,inf
213466,inf
213467,inf
213471,inf
213472,inf
213473,inf
213474,inf
213476,inf
213477,inf
213478,inf
213479,inf
213480,inf
213481,inf
213484,inf
213485,inf
213486,inf
213488,inf
213489,inf
213490,inf
213491,inf
213494,inf
213495,inf
213496,inf
213497,inf
213502,inf
213503,inf
213505,inf
213506,inf
213507,inf
213510,inf
213511,inf
213512,inf
213514,inf
213516,inf
213517,inf
213518,inf
213519,inf
213520,inf
213521,inf
213522,inf
213523,inf
213526,inf
213528,4737967296.0
213530,inf
213531,inf
213532,inf
213533,3.3020167467149317e+81
213535,inf
213536,inf
213537,inf
213538,inf
213540,inf
213541,inf
213542,inf
213543,inf
213545,inf
213546,inf
213547,inf
213548,inf
213550,inf
213551,inf
213554,inf
213559,inf
213560,inf
213561,inf
213562,inf
213563,inf
213564,inf
213565,inf
213566,inf
213567,inf
213568,inf
213572,inf
213573,inf
213574,inf
213575,inf
213576,inf
213577,inf
213578,inf
213579,inf
213580,inf
213581,inf
213582,inf
213583,inf
213584,inf
213587,inf
213588,inf
213591,inf
213593,inf
213594,inf
213597,inf
213598,inf
213599,inf
213600,inf
213601,inf
213602,inf
213603,inf
213604,inf
213605,inf
213606,inf
213607,inf
213608,inf
213609,inf
213610,inf
213612,inf
213613,inf
213614,inf
213615,inf
213616,inf
213617,inf
213619,inf
213620,inf
213621,inf
213624,inf
213625,inf
213626,inf
213627,inf
213630,inf
213631,inf
213635,inf
213639,inf
213640,inf
213641,inf
213643,inf
213644,inf
213645,inf
213648,inf
213649,inf
213650,inf
213651,inf
213652,inf
213653,inf
213654,inf
213658,inf
213660,inf
213661,inf
213663,inf
213664,inf
213665,inf
213666,inf
213669,inf
213670,inf
213671,inf
213673,inf
213674,inf
213675,inf
213678,inf
213681,inf
213682,inf
213683,inf
213685,inf
213686,inf
213687,inf
213688,inf
213689,inf
213690,inf
213691,inf
213692,inf
213693,inf
213694,inf
213696,inf
213697,inf
213698,inf
213699,inf
213700,inf
213701,inf
213703,inf
213704,inf
213707,inf
213708,inf
213709,inf
213711,inf
213712,inf
213713,inf
213716,inf
213720,inf
213723,inf
213724,inf
213725,inf
213727,inf
213728,inf
213729,inf
213733,inf
213734,inf
213735,inf
213736,inf
213737,inf
213738,inf
213741,inf
213743,inf
213744,inf
213745,inf
213748,inf
213749,inf
213750,inf
213752,inf
213753,inf
213754,inf
213755,inf
213756,inf
213758,inf
213759,inf
213760,inf
213761,inf
213762,inf
213763,inf
213764,2.3110595454201876e+134
213765,inf
213768,inf
213769,inf
213770,inf
213771,inf
213773,inf
213774,inf
213775,inf
213779,inf
213780,inf
213781,inf
213782,inf
213783,inf
213785,inf
213786,inf
213787,inf
213788,inf
213789,inf
213790,inf
213792,inf
213796,inf
213797,inf
213798,inf
213799,inf
213800,inf
213801,inf
213802,inf
213805,inf
213806,inf
213807,inf
213808,inf
213809,inf
213811,inf
213814,inf
213816,inf
213817,inf
213819,inf
213820,inf
213821,inf
213824,inf
213825,inf
213826,inf
213829,inf
213830,inf
213831,inf
213833,inf
213834,inf
213835,inf
213838,inf
213840,inf
213842,inf
213844,inf
213848,inf
213849,inf
213850,inf
213851,inf
213852,inf
213853,inf
213857,inf
213858,inf
213859,inf
213860,inf
213861,inf
213862,inf
213863,inf
213865,inf
213866,inf
213867,inf
213870,inf
213871,inf
213874,inf
213875,inf
213878,inf
213879,inf
213880,inf
213883,inf
213884,inf
213885,inf
213888,inf
213891,inf
213892,inf
213893,inf
213895,inf
213896,inf
213897,inf
213900,inf
213901,inf
213902,inf
213903,inf
213905,inf
213906,inf
213907,inf
213909,inf
213910,inf
213912,inf
213913,inf
213918,inf
213919,inf
213922,inf
213923,inf
213924,inf
213925,inf
213926,inf
213928,inf
213930,inf
213932,inf
213935,inf
213936,inf
213939,inf
213940,inf
213942,inf
213943,inf
213944,inf
213945,inf
213946,inf
213947,inf
213948,inf
213949,inf
213951,inf
213952,inf
213954,inf
213955,inf
213956,inf
213960,inf
213961,inf
213962,inf
213963,inf
213964,inf
213965,inf
213966,inf
213967,inf
213968,inf
213971,inf
213972,inf
213973,inf
213976,inf
213977,inf
213978,inf
213979,inf
213980,inf
213981,inf
213982,inf
213983,inf
213985,inf
213986,inf
213987,inf
213988,inf
213989,inf
213990,inf
213991,inf
213994,inf
213995,inf
213996,inf
213998,inf
213999,inf
214000,inf
214001,inf
214002,inf
214004,inf
214005,inf
214006,inf
214008,inf
214009,inf
214010,inf
214011,inf
214014,inf
214015,inf
214016,inf
214017,inf
214018,inf
214019,inf
214021,inf
214022,inf
214023,inf
214024,inf
214025,inf
214026,inf
214027,inf
214028,inf
214032,inf
214033,inf
214034,inf
214035,inf
214036,inf
214040,inf
214041,inf
214043,inf
214044,inf
214045,inf
214048,inf
214049,inf
214050,inf
214051,inf
214054,inf
214055,inf
214056,inf
214057,inf
214061,inf
214062,inf
214063,inf
214065,inf
214066,inf
214067,inf
214070,inf
214071,inf
214072,inf
214073,inf
214074,inf
214075,inf
214076,inf
214077,inf
214078,inf
214079,inf
214080,inf
214081,inf
214082,inf
214083,inf
214084,inf
214085,inf
214086,inf
214088,inf
214089,inf
214090,11108775214.0
214092,inf
214096,inf
214097,inf
214098,inf
214099,inf
214100,inf
214101,inf
214102,inf
214103,inf
214104,inf
214105,inf
214106,inf
214109,inf
214111,inf
214112,inf
214114,inf
214115,inf
214116,inf
214118,inf
214120,inf
214121,inf
214122,inf
214124,inf
214125,inf
214126,inf
214129,inf
214130,inf
214131,inf
214133,inf
214134,inf
214135,inf
214136,inf
214137,inf
214138,inf
214139,inf
214140,inf
214141,inf
214142,inf
214143,inf
214144,inf
214145,inf
214146,inf
214148,inf
214149,inf
214151,inf
214152,inf
214153,inf
214154,inf
214155,inf
214156,inf
214158,inf
214159,inf
214160,inf
214161,inf
214162,inf
214163,inf
214164,inf
214165,inf
214168,inf
214169,inf
214175,inf
214176,inf
214177,inf
214178,inf
214179,inf
214180,inf
214184,inf
214185,inf
214186,inf
214187,inf
214188,inf
214191,inf
214192,inf
214193,inf
214194,inf
214195,inf
214196,inf
214197,inf
214198,inf
214202,inf
214203,inf
214204,inf
214205,inf
214206,inf
214207,inf
214209,inf
214210,inf
214213,inf
214215,inf
214216,inf
214217,inf
214218,inf
214221,inf
214222,inf
214223,inf
214224,inf
214225,inf
214226,inf
214227,inf
214228,inf
214229,inf
214230,inf
214231,inf
214233,inf
214235,inf
214236,inf
214237,inf
214240,inf
214241,inf
214242,inf
214245,inf
214246,inf
214247,inf
214248,inf
214249,inf
214251,inf
214252,inf
214253,inf
214255,inf
214256,inf
214258,inf
214261,inf
214262,inf
214263,inf
214265,inf
214266,inf
214267,inf
214271,inf
214272,inf
214273,inf
214274,inf
214275,inf
214276,inf
214277,inf
214278,inf
214281,inf
214282,inf
214283,inf
214284,inf
214285,inf
214286,inf
214287,inf
214288,inf
214292,inf
214293,inf
214296,inf
214297,inf
214300,inf
214301,inf
214302,inf
214305,inf
214306,inf
214307,inf
214310,inf
214311,inf
214312,inf
214313,inf
214314,inf
214315,inf
214316,inf
214317,inf
214318,inf
214320,inf
214321,inf
214322,inf
214325,inf
214326,inf
214327,inf
214328,3.525166756223468e+32
214330,inf
214331,inf
214332,inf
214333,inf
214334,inf
214335,inf
214336,inf
214337,inf
214338,inf
214339,inf
214340,inf
214341,inf
214342,inf
214343,inf
214344,inf
214345,inf
214346,inf
214348,inf
214349,inf
214350,inf
214351,inf
214352,inf
214355,inf
214356,inf
214357,inf
214358,inf
214360,inf
214361,inf
214362,inf
214363,inf
214364,inf
214366,inf
214367,inf
214368,inf
214370,inf
214371,inf
214373,inf
214374,inf
214375,inf
214376,inf
214377,inf
214378,inf
214379,inf
214381,inf
214382,inf
214383,inf
214387,inf
214388,inf
214389,inf
214390,inf
214391,inf
214393,inf
214394,inf
214395,inf
214396,inf
214397,inf
214398,inf
214399,inf
214400,inf
214402,inf
214403,inf
214404,inf
214406,inf
214407,inf
214408,inf
214411,inf
214412,inf
214413,inf
214414,inf
214415,inf
214416,inf
214417,inf
214418,inf
214421,inf
214422,inf
214425,inf
214426,inf
214427,inf
214428,inf
214430,inf
214431,inf
214432,inf
214434,inf
214435,inf
214436,inf
214437,inf
214438,inf
214440,inf
214441,inf
214443,inf
214444,inf
214445,inf
214447,inf
214450,inf
214454,inf
214455,inf
214456,inf
214457,inf
214458,inf
214459,inf
214460,inf
214461,inf
214462,inf
214463,inf
214464,inf
214466,inf
214467,inf
214468,inf
214469,inf
214470,inf
214471,inf
214472,inf
214473,inf
214475,inf
214476,inf
214477,inf
214478,inf
214481,inf
214482,inf
214483,inf
214484,inf
214487,inf
214488,inf
214491,inf
214494,inf
214495,inf
214498,inf
214499,inf
214500,inf
214501,inf
214504,inf
214505,inf
214506,inf
214507,inf
214508,inf
214510,inf
214511,inf
214512,inf
214513,inf
214514,inf
214515,inf
214517,inf
214518,inf
214519,inf
214522,inf
214523,inf
214524,inf
214526,inf
214527,inf
214528,inf
214529,inf
214530,inf
214531,inf
214534,inf
214539,inf
214540,inf
214541,inf
214542,inf
214543,inf
214545,inf
214546,inf
214547,inf
214550,inf
214551,inf
214554,inf
214555,inf
214556,inf
214557,inf
214559,inf
214560,inf
214561,inf
214564,inf
214565,inf
214566,inf
214567,inf
214569,inf
214570,inf
214571,inf
214572,inf
214573,inf
214574,inf
214575,inf
214577,inf
214578,inf
214579,inf
214581,inf
214582,inf
214583,inf
214587,inf
214588,inf
214589,inf
214590,inf
214591,inf
214592,inf
214593,inf
214595,inf
214596,inf
214597,inf
214600,inf
214601,inf
214605,inf
214606,inf
214607,inf
214608,inf
214609,inf
214610,inf
214611,inf
214612,inf
214614,inf
214615,inf
214618,inf
214619,inf
214620,inf
214622,inf
214623,inf
214624,inf
214625,inf
214626,inf
214627,inf
214628,inf
214629,inf
214630,inf
214631,inf
214632,inf
214634,inf
214635,inf
214636,inf
214637,inf
214638,inf
214639,inf
214640,9.997994497211874e+79
214642,inf
214643,inf
214646,inf
214647,inf
214651,inf
214652,inf
214653,inf
214656,inf
214657,inf
214660,inf
214661,inf
214662,inf
214663,inf
214665,inf
214666,inf
214667,inf
214671,inf
214672,inf
214673,inf
214674,inf
214675,inf
214676,inf
214677,inf
214678,inf
214679,inf
214680,inf
214681,inf
214683,inf
214688,inf
214689,inf
214690,inf
214693,inf
214694,inf
214695,inf
214696,inf
214699,inf
214700,inf
214701,inf
214704,inf
214705,inf
214706,inf
214708,inf
214709,inf
214710,inf
214712,inf
214713,inf
214714,inf
214716,inf
214717,inf
214718,inf
214719,inf
214720,inf
214721,inf
214722,inf
214723,inf
214724,inf
214725,inf
214726,inf
214727,inf
214728,inf
214729,inf
214730,inf
214731,inf
214732,inf
214733,3.9218286542162854e+20
214734,inf
214736,inf
214737,inf
214738,inf
214740,inf
214741,inf
214742,inf
214743,inf
214745,inf
214746,inf
214747,inf
214748,inf
214749,inf
214750,inf
214751,inf
214753,inf
214754,inf
214755,inf
214763,inf
214767,inf
214768,inf
214769,inf
214771,inf
214772,inf
214773,inf
214775,inf
214776,inf
214777,inf
214778,inf
214780,inf
214781,inf
214782,inf
214785,inf
214787,inf
214788,inf
214789,inf
214790,inf
214791,inf
214792,inf
214793,inf
214794,inf
214795,inf
214796,inf
214797,inf
214798,inf
214799,inf
214800,inf
214801,inf
214802,inf
214803,inf
214804,inf
214807,inf
214808,inf
214809,inf
214810,inf
214811,inf
214813,inf
214814,inf
214815,inf
214818,inf
214819,inf
214820,inf
214821,inf
214822,inf
214826,inf
214827,inf
214828,inf
214830,inf
214831,inf
214833,inf
214834,inf
214836,inf
214838,inf
214839,inf
214841,inf
214843,inf
214844,inf
214845,inf
214846,inf
214847,inf
214848,inf
214854,inf
214855,inf
214856,inf
214858,inf
214859,inf
214860,inf
214864,inf
214865,inf
214866,inf
214869,inf
214870,inf
214872,inf
214874,inf
214875,inf
214877,inf
214878,inf
214879,inf
214880,inf
214881,inf
214882,inf
214884,inf
214885,inf
214886,inf
214887,inf
214888,inf
214889,inf
214890,inf
214891,inf
214893,inf
214894,inf
214895,1.6310216365780606e+57
214896,inf
214899,inf
214904,inf
214907,inf
214908,inf
214909,inf
214912,inf
214914,inf
214915,inf
214917,inf
214918,inf
214919,inf
214920,inf
214921,inf
214922,inf
214924,inf
214925,inf
214926,inf
214927,inf
214928,inf
214931,inf
214932,inf
214933,inf
214935,inf
214936,inf
214940,inf
214942,inf
214943,inf
214944,inf
214945,inf
214947,inf
214948,inf
214949,inf
214950,inf
214951,inf
214953,inf
214954,inf
214955,inf
214956,inf
214959,inf
214960,inf
214961,inf
214964,inf
214965,inf
214966,inf
214969,inf
214970,inf
214971,inf
214972,inf
214973,inf
214974,inf
214975,inf
214976,inf
214977,inf
214979,inf
214980,inf
214982,inf
214985,inf
214986,inf
214987,inf
214990,inf
214991,inf
214992,inf
214993,inf
214994,inf
214995,inf
214996,inf
214997,inf
214998,inf
214999,inf
215000,inf
215002,inf
215003,inf
215004,inf
215005,inf
215006,inf
215008,inf
215009,inf
215010,inf
215011,inf
215012,inf
215013,inf
215014,inf
215015,inf
215016,inf
215017,inf
215018,inf
215019,inf
215020,inf
215021,inf
215022,inf
215023,inf
215024,inf
215026,inf
215027,inf
215029,inf
215030,inf
215031,inf
215033,inf
215034,inf
215035,inf
215038,inf
215039,inf
215040,inf
215043,inf
215044,inf
215048,inf
215049,inf
215050,inf
215051,inf
215052,inf
215053,inf
215054,inf
215055,inf
215056,inf
215057,inf
215058,inf
215059,inf
215060,inf
215061,inf
215062,inf
215063,inf
215065,inf
215066,inf
215067,inf
215068,inf
215071,inf
215072,inf
215074,inf
215075,inf
215076,inf
215077,inf
215079,inf
215080,inf
215081,inf
215084,inf
215085,inf
215086,inf
215087,inf
215088,inf
215089,inf
215094,inf
215095,inf
215096,inf
215097,inf
215098,inf
215101,inf
215102,inf
215103,inf
215106,inf
215107,inf
215111,inf
215112,inf
215113,inf
215114,inf
215116,inf
215117,inf
215118,inf
215119,inf
215120,inf
215121,inf
215124,inf
215125,inf
215126,inf
215128,inf
215129,inf
215130,inf
215131,inf
215134,inf
215135,inf
215136,inf
215137,inf
215142,inf
215143,inf
215145,inf
215146,inf
215147,inf
215150,inf
215151,inf
215152,inf
215154,inf
215156,inf
215157,inf
215158,inf
215159,inf
215160,inf
215161,inf
215162,inf
215163,inf
215166,inf
215167,inf
215169,inf
215170,inf
215171,inf
215172,2.798433348316473e+124
215174,inf
215175,inf
215176,inf
215177,inf
215179,inf
215180,inf
215181,inf
215182,inf
215184,inf
215185,inf
215186,inf
215187,inf
215189,inf
215190,inf
215193,inf
215198,inf
215199,inf
215200,inf
215201,inf
215202,inf
215203,inf
215204,inf
215205,inf
215206,inf
215207,inf
215211,inf
215212,inf
215213,inf
215214,inf
215215,inf
215216,inf
215217,inf
215218,inf
215219,inf
215220,inf
215221,inf
215222,inf
215223,inf
215226,inf
215227,inf
215230,inf
215232,inf
215233,inf
215236,inf
215237,inf
215238,inf
215239,inf
215240,inf
215241,inf
215242,inf
215243,inf
215244,inf
215245,inf
215246,inf
215247,inf
215248,inf
215249,inf
215251,inf
215252,inf
215253,inf
215254,inf
215255,inf
215256,inf
215258,inf
215259,inf
215260,inf
215263,inf
215264,inf
215265,inf
215266,inf
215269,inf
215270,inf
215274,inf
215278,inf
215279,inf
215280,inf
215282,inf
215283,inf
215284,inf
215287,inf
215288,inf
215289,inf
215290,inf
215291,inf
215292,inf
215293,inf
215297,inf
215299,inf
215300,inf
215302,inf
215303,inf
215304,inf
215305,inf
215308,inf
215309,inf
215310,inf
215312,inf
215313,inf
215314,inf
215317,inf
215320,inf
215321,inf
215322,inf
215324,inf
215325,inf
215326,inf
215327,inf
215328,inf
215329,inf
215330,inf
215331,inf
215332,inf
215333,inf
215335,inf
215336,inf
215337,inf
215338,inf
215339,inf
215340,inf
215342,inf
215343,inf
215346,inf
215347,inf
215348,inf
215350,inf
215351,inf
215352,inf
215355,inf
215359,inf
215362,inf
215363,inf
215364,inf
215366,inf
215367,inf
215368,inf
215372,inf
215373,inf
215374,inf
215375,inf
215376,inf
215377,inf
215380,inf
215382,inf
215383,inf
215384,inf
215387,inf
215388,inf
215389,inf
215391,inf
215392,inf
215393,inf
215394,inf
215395,inf
215397,inf
215398,inf
215399,inf
215400,inf
215401,inf
215402,inf
215403,inf
215404,inf
215407,inf
215408,inf
215409,inf
215410,inf
215412,inf
215413,inf
215414,inf
215418,inf
215419,inf
215420,inf
215421,inf
215422,inf
215424,inf
215425,inf
215426,inf
215427,inf
215428,inf
215429,inf
215431,inf
215435,inf
215436,inf
215437,inf
215438,582837944.0
215439,inf
215440,inf
215441,inf
215444,inf
215445,inf
215446,inf
215447,inf
215448,inf
215450,inf
215453,inf
215455,inf
215456,inf
215458,inf
215459,inf
215460,inf
215463,inf
215464,inf
215465,inf
215468,inf
215469,inf
215470,inf
215472,inf
215473,inf
215474,inf
215477,inf
215479,inf
215481,inf
215483,inf
215487,inf
215488,inf
215489,inf
215490,inf
215491,inf
215492,inf
215496,inf
215497,inf
215498,inf
215499,inf
215500,inf
215501,inf
215502,inf
215504,inf
215505,inf
215506,inf
215509,inf
215510,inf
215513,inf
215514,inf
215517,inf
215518,inf
215519,inf
215521,inf
215522,inf
215523,inf
215526,inf
215529,inf
215530,inf
215531,inf
215533,inf
215534,inf
215535,inf
215538,inf
215539,inf
215540,inf
215541,inf
215543,inf
215544,inf
215545,inf
215547,inf
215548,inf
215550,inf
215551,inf
215556,inf
215557,inf
215560,inf
215561,inf
215562,inf
215563,inf
215564,inf
215566,inf
215568,inf
215570,inf
215573,inf
215574,inf
215577,inf
215578,inf
215580,inf
215581,inf
215582,inf
215583,inf
215584,inf
215585,inf
215586,inf
215587,inf
215589,inf
215590,inf
215591,inf
215592,inf
215593,inf
215597,inf
215598,inf
215599,inf
215600,inf
215601,inf
215602,inf
215603,inf
215604,inf
215605,inf
215608,inf
215609,inf
215610,inf
215613,inf
215614,inf
215615,inf
215616,inf
215617,inf
215618,inf
215619,inf
215620,inf
215622,inf
215623,inf
215624,inf
215625,inf
215626,inf
215627,inf
215628,inf
215631,inf
215632,inf
215633,inf
215635,inf
215636,inf
215637,inf
215638,inf
215639,inf
215641,inf
215642,inf
215643,inf
215645,inf
215646,inf
215647,inf
215648,inf
215651,inf
215652,inf
215653,inf
215654,inf
215655,inf
215656,inf
215658,inf
215659,inf
215660,inf
215661,inf
215662,inf
215663,inf
215664,inf
215665,inf
215669,inf
215670,inf
215671,inf
215672,inf
215673,inf
215677,inf
215678,inf
215680,inf
215681,inf
215682,inf
215685,inf
215686,inf
215687,inf
215688,inf
215691,inf
215692,inf
215693,inf
215694,inf
215698,inf
215699,inf
215700,inf
215702,inf
215703,inf
215704,inf
215707,inf
215708,inf
215709,inf
215710,inf
215711,inf
215712,inf
215713,inf
215714,inf
215715,inf
215716,inf
215717,inf
215718,inf
215719,inf
215720,inf
215722,inf
215723,inf
215724,inf
215726,inf
215727,inf
215728,6.560160234758849e+34
215730,inf
215734,inf
215735,inf
215736,inf
215737,inf
215738,inf
215739,inf
215740,inf
215741,inf
215742,inf
215743,inf
215744,inf
215747,inf
215749,inf
215750,inf
215752,inf
215753,inf
215754,inf
215756,inf
215758,inf
215759,inf
215760,inf
215762,inf
215763,inf
215764,inf
215767,inf
215768,inf
215769,inf
215770,inf
215771,inf
215772,inf
215773,inf
215774,inf
215775,inf
215776,inf
215777,inf
215778,inf
215779,inf
215780,inf
215781,inf
215782,inf
215783,inf
215785,inf
215786,inf
215788,inf
215789,inf
215790,inf
215791,inf
215792,inf
215793,inf
215795,inf
215796,inf
215797,inf
215798,inf
215799,inf
215800,inf
215801,inf
215802,inf
215805,inf
215806,inf
215812,inf
215813,inf
215814,inf
215815,inf
215816,inf
215817,inf
215821,inf
215822,inf
215823,inf
215824,inf
215825,inf
215828,inf
215829,inf
215830,inf
215831,inf
215832,inf
215833,inf
215834,inf
215835,inf
215839,inf
215840,inf
215841,inf
215842,inf
215843,inf
215844,inf
215846,inf
215847,inf
215850,inf
215852,inf
215853,inf
215854,inf
215855,inf
215858,inf
215859,inf
215860,inf
215861,inf
215862,inf
215863,inf
215864,inf
215865,inf
215866,4.802414945270899e+211
215867,inf
215868,inf
215870,inf
215872,inf
215873,inf
215874,inf
215877,inf
215878,inf
215879,inf
215882,inf
215883,inf
215884,inf
215885,inf
215886,inf
215888,inf
215889,inf
215890,inf
215892,inf
215893,inf
215895,inf
215898,inf
215899,inf
215900,inf
215902,inf
215903,inf
215904,inf
215908,inf
215909,inf
215910,inf
215911,inf
215912,inf
215913,inf
215914,inf
215915,inf
